Unnamed: 0,Name,Album,Artist,feeling,Expression
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,angry,
1,Mo Bamba,MUDBOY,Sheck Wes,angry,
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,angry,
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,angry,
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,angry,
5,Rasputin,Rasputin,Majestic,angry,
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,angry,
7,Whoopty,Whoopty,CJ,angry,
8,Streets,Hot Pink,Doja Cat,angry,
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,angry,
10,Paparazzi,Paparazzi,Kim Dracula,angry,
11,hot girl bummer,hot girl bummer,blackbear,angry,
12,Runnin Low,Runnin Low,Kieran Alleyne,angry,
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,angry,
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,angry,
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,angry,
16,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,angry,
17,Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,angry,
18,Superlife,Superlife,Lox Chatterbox,angry,
19,Invincible,Meet The Woo 2,Pop Smoke,angry,
20,How She Walk,How She Walk,TheGrimLynn,angry,
21,Arabian Night,Arabian Night,Żwirek,angry,
22,Monster,Monster,Besomorph,angry,
23,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,angry,
24,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,angry,
25,Blood // Water,Blood // Water,grandson,angry,
26,Fed Up,ANTI-ICON,Ghostemane,angry,
27,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,angry,
28,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,angry,
29,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,angry,
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,disgusted,
1,Jocelyn Flores,17,XXXTENTACION,disgusted,
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,disgusted,
3,how to live,how to live,yaeow,disgusted,
4,It's You,YOU,Ali Gatie,disgusted,
5,Loosing Interest,Passion & Confusion,Timmies,disgusted,
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,disgusted,
7,Dead and Cold,Dead and Cold,ELIJAH MOON,disgusted,
8,Heather,Kid Krow,Conan Gray,disgusted,
9,Reckless,Reckless,Madison Beer,disgusted,
10,paradise,paradise,cliffe,disgusted,
11,Me Too,Me Too,April Jai,disgusted,
12,Six Feet Under,Six Feet Under,Billie Eilish,disgusted,
13,Circles,Hollywood's Bleeding,Post Malone,disgusted,
14,All Alone,All Alone,Sølace,disgusted,
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,disgusted,
16,Everybody Dies In Their Nightmares,17,XXXTENTACION,disgusted,
17,More to the Story,More to the Story,Kristina Nichol,disgusted,
18,talk with me (about it),talk with me (about it),Brvno,disgusted,
